"FIRE_NUM,C,25","FIRE_YEAR,N,4,0","RSPNCE_TYP,C,200","IGNITN_DT,D","FIREOUT_DT,D","STATUS,C,30","FIRE_CAUSE,C,10","FIRE_CENTR,N,10,0","ZONE,N,10,0","FIRE_ID,N,10,0","GEOGRAPHIC,C,254","LATITUDE,N,11,4","LONGITUDE,N,11,4","CURRENT_SZ,N,9,3","FIRE_LINK,C,254"
C11290,2023,Full,07/08/2023,,Fire of Note,Lightning,7,1,1290,2.5km E of Margaret Lake,52.8138,-122.9345,2785,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C11290
VA0566,2023,,06/02/2023,06/02/2023,Out,Person,2,10,566,Bella Coola Airport,52.3877,-126.5905,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=VA0566
C30572,2023,Monitor,06/02/2023,,Being Held,Lightning,7,3,572,Modified Response: W of Niagara Creek,52.6924,-120.486,25,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C30572
G11993,2023,,07/20/2023,,Under Control,Lightning,4,1,1993,Hoodoo Creek,54.1533,-123.1186,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G11993
G41970,2023,,07/20/2023,,Out of Control,Lightning,4,4,1970,Fawnie Creek,53.2907,-125.0786,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G41970
VA1664,2023,Monitor,07/13/2023,,Out of Control,Lightning,2,10,1664,Salahagen Creek,53.1551,-127.0735,50,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=VA1664
R11173,2023,,07/06/2023,,Under Control,Lightning,3,1,1173,Windfall Hill,53.5977,-125.9421,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R11173
G70141,2023,Full,04/29/2023,05/07/2023,Out,Person,4,7,141,Tower Lake,55.9928,-120.6102,4,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G70141
N11368,2023,Full,07/08/2023,,Under Control,Person,6,1,1368,Phillipps Creek,49.0313,-115.0795,0.1,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=N11368
V11688,2023,,07/14/2023,07/21/2023,Out,Person,2,1,1688,Pitt Lake,49.3538,-122.6132,0.5,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V11688
