"FIRE_NUM,C,25","FIRE_YEAR,N,4,0","RSPNCE_TYP,C,200","IGNITN_DT,D","FIREOUT_DT,D","STATUS,C,30","FIRE_CAUSE,C,10","FIRE_CENTR,N,10,0","ZONE,N,10,0","FIRE_ID,N,10,0","GEOGRAPHIC,C,254","LATITUDE,N,11,4","LONGITUDE,N,11,4","CURRENT_SZ,N,9,3","FIRE_LINK,C,254"
K41886,2023,,07/19/2023,07/20/2023,Out,Lightning,5,4,1886,Cook Creek FSR,50.6679,-118.8615,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K41886
G12020,2023,Full,07/21/2023,,Out of Control,Lightning,4,1,2020,Willow River,53.791,-122.1907,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G12020
G30999,2023,Full,06/29/2023,06/29/2023,Out,Lightning,4,3,999,Allan Creek,52.5525,-119.1265,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G30999
V11337,2023,Modified,07/08/2023,,Out of Control,Lightning,2,1,1337,Kookipi Creek,49.9815,-121.64,368,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V11337
K41846,2023,,07/17/2023,07/18/2023,Out,Lightning,5,4,1846,Owlhead FSR 2,50.838,-118.8808,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K41846
V80993,2023,,06/29/2023,06/29/2023,Out,Unknown,2,8,993,W of Perseverence Creek,49.6275,-125.0944,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V80993
G81157,2023,Monitor,07/06/2023,,Out of Control,Lightning,4,8,1157,Kahntah River,57.4578,-120.5291,1037,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G81157
G41208,2023,Full,07/07/2023,,Under Control,Lightning,4,4,1208,Tatin Lake,54.1202,-125.1124,8.11,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G41208
R21250,2023,,07/07/2023,,Fire of Note,Lightning,3,2,1250,Heading Creek FSR,54.4102,-126.4153,2042,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R21250
G11875,2023,Full,07/18/2023,,Under Control,Lightning,4,1,1875,Taginchil Lake,54.1249,-123.3033,0.2,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G11875
G91028,2023,Full,06/30/2023,07/02/2023,Out,Lightning,4,9,1028,Snake River,59.1178,-122.3703,1,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G91028
R41724,2023,,07/15/2023,,Being Held,Lightning,3,4,1724,W of Kitsun Creek,54.9698,-127.89,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R41724
N41094,2023,Full,07/02/2023,,Being Held,Lightning,6,4,1094,Big Mouth Creek,51.8238,-118.5007,3.6,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=N41094
R91733,2023,,07/15/2023,,Out of Control,Lightning,3,9,1733,1m NE stikine River,58.0147,-128.4385,85,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R91733
R51709,2023,,07/14/2023,,Out of Control,Unknown,3,5,1709,Kitlope River 1,53.159,-127.728,110,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R51709
G90565,2023,Monitor,06/02/2023,,Under Control,Lightning,4,9,565,N of Muskwa River,57.9132,-123.9312,208,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G90565
K21839,2023,,07/17/2023,,Under Control,Lightning,5,2,1839,Skmana Lake,50.882,-119.7572,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K21839
K21994,2023,,07/21/2023,07/22/2023,Out,Lightning,5,2,1994,Lower Lyons Lake,50.8865,-120.1829,0.18,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K21994
V81867,2023,,07/18/2023,07/18/2023,Out,Lightning,2,8,1867,NW of Anna Lake,50.5123,-125.2903,0,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V81867
G42060,2023,,07/21/2023,,Being Held,Lightning,4,4,2060,Dog Creek,54.27,-124.2133,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G42060
G51476,2023,Full,07/09/2023,07/11/2023,Out,Lightning,4,5,1476,3 Miles SW of Kalder Lake,54.9439,-124.2616,0.1,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G51476
VA1735,2023,,07/15/2023,,Fire of Note,Lightning,2,10,1735,Young Creek,52.5088,-125.9122,3360,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=VA1735
K51685,2023,Full,07/14/2023,07/16/2023,Out,Lightning,5,5,1685,Skaha Creek,49.4519,-119.6202,1.13,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K51685
C20130,2023,Full,04/29/2023,04/30/2023,Out,Person,7,2,130,E of Nelson Road,52.1304,-121.9469,0.1,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C20130
N11700,2023,,07/14/2023,07/15/2023,Out,Person,6,1,1700,1.6km W Maguire Creek,49.1548,-115.1341,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=N11700
C21565,2023,Full,07/11/2023,07/12/2023,Out,Lightning,7,2,1565,5.4km N of Westwick Lakes,52.0536,-122.1951,0.2,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C21565
G60603,2023,Monitor,06/04/2023,,Out of Control,Lightning,4,6,603,Clearwater Creek,55.912,-123.1348,215,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G60603
R21878,2023,Full,07/18/2023,07/19/2023,Out,Lightning,3,2,1878,1.4km W of McInnes Creek,54.502,-126.4935,0.014,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R21878
K40785,2023,Full,06/11/2023,06/14/2023,Out,Lightning,5,4,785,Ashton Creek,50.5618,-118.9866,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K40785
R11289,2023,,07/08/2023,,Being Held,Unknown,3,1,1289,Eustua Lake,53.2987,-126.8695,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R11289
G41380,2023,Modified,07/09/2023,,Fire of Note,Lightning,4,4,1380,Lucas Lake,53.536,-125.2189,1163.96,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G41380
G11185,2023,Full,07/07/2023,07/08/2023,Out,Lightning,4,1,1185,Grizzly Creek,53.7008,-122.1866,0.1,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G11185
C31905,2023,Full,07/19/2023,,Under Control,Lightning,7,3,1905,3.7km W Freshetta Lake,52.5339,-121.3695,2.4,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C31905
N22114,2023,,07/22/2023,,Out of Control,Lightning,6,2,2114,Vowell Creek,50.9537,-116.9468,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=N22114
R22058,2023,Full,07/21/2023,,Under Control,Lightning,3,2,2058,Bear Island,54.9125,-126.2374,0.04,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R22058
G92143,2023,,07/22/2023,,Out of Control,Lightning,4,9,2143,Stanolind Creek,59.1076,-123.3191,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G92143
C10148,2023,Full,04/30/2023,04/30/2023,Out,Person,7,1,148,S of Scott Road,53.0504,-122.532,0.6,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C10148
K71613,2023,,07/12/2023,07/18/2023,Out,Unknown,5,7,1613,Carl Creek,50.7385,-122.8344,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K71613
R51336,2023,,07/08/2023,,Being Held,Lightning,3,5,1336,1km E of Cedar River,55.129,-128.723,200,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R51336
G90980,2023,Full,06/28/2023,07/11/2023,Out,Lightning,4,9,980,Fort Nelson,58.8485,-121.3661,14,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G90980
R10507,2023,,05/27/2023,06/06/2023,Out,Lightning,3,1,507,E of Wynkes Creek,53.942,-126.0732,82,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R10507
V70849,2023,Full,06/23/2023,06/27/2023,Out,Unknown,2,7,849,E of Whisky Lake,49.0963,-123.963,0.8,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V70849
G31351,2023,Modified,07/08/2023,,Out of Control,Lightning,4,3,1351,South of Killam Creek,53.4685,-120.6728,1.1,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G31351
C21484,2023,Full,07/09/2023,07/10/2023,Out,Lightning,7,2,1484,W of Powerlines Esler,52.1369,-122.2078,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C21484
N11689,2023,,07/14/2023,07/14/2023,Out,Lightning,6,1,1689,Kiakho Lake,49.473,-115.912,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=N11689
G91946,2023,Full,07/20/2023,,Under Control,Lightning,4,9,1946,8 KM EAST OF SNAKE RIVER,58.9977,-122.0889,0.5,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G91946
C52151,2023,,07/22/2023,07/22/2023,Out,Lightning,7,5,2151,Far Creek South,52.739,-125.4909,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C52151
G12145,2023,,07/22/2023,,Out of Control,Lightning,4,1,2145,Walker Creek FSR,53.7403,-120.9157,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G12145
G41527,2023,Full,07/10/2023,,Out of Control,Lightning,4,4,1527,South of Lucas Creek,53.5202,-125.0901,11.38,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G41527
V51696,2023,Monitor,07/14/2023,,Out of Control,Lightning,2,5,1696,Landmark Mountain,51.1679,-125.017,42,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V51696
G60705,2023,Full,06/09/2023,06/27/2023,Out,Lightning,4,6,705,Skeleton Creek,55.6292,-124.4588,8.6,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G60705
N11665,2023,Full,07/13/2023,07/13/2023,Out,Lightning,6,1,1665,Teepee Creek FSR,49.2738,-115.2988,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=N11665
C12108,2023,,07/22/2023,,Under Control,Unknown,7,1,2108,3.9km SE of Ruric Lake,52.797,-122.5559,0.5,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C12108
G41569,2023,Full,07/11/2023,,Out of Control,Lightning,4,4,1569,Nulki Hills,53.675,-124.3337,1008.39,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G41569
V31268,2023,Full,07/08/2023,07/11/2023,Out,Lightning,2,3,1268,S of Daisy Creek,49.6017,-123.1973,0.015,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V31268
V30960,2023,Full,06/27/2023,06/28/2023,Out,Person,2,3,960,S of Porteau Cove,49.5481,-123.2502,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V30960
C30632,2023,Full,06/05/2023,06/07/2023,Out,Person,7,3,632,1km West of Abbett Lake,52.3306,-121.523,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C30632
N42107,2023,,07/22/2023,,Being Held,Person,6,4,2107,Simand Creek,51.0163,-116.208,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=N42107
R32103,2023,,07/22/2023,07/22/2023,Out,Lightning,3,3,2103,Deception Lake FSR,54.6996,-126.8403,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R32103
V11332,2023,Monitor,07/08/2023,,Out of Control,Lightning,2,1,1332,6km Peak Sunny Mnt - MODIFIED RESPONSE,49.889,-121.5983,8,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V11332
V31666,2023,,07/13/2023,07/16/2023,Out,Lightning,2,3,1666,S of Meager Creek,50.5754,-123.5333,0.25,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V31666
G60887,2023,Monitor,06/24/2023,,Out of Control,Unknown,4,6,887,Thorne Creek,56.7856,-126.6837,20,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G60887
C51136,2023,,07/05/2023,07/10/2023,Out,Person,7,5,1136,1km E of Bull Canyon Rec Site,52.0863,-123.3633,0.1,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C51136
R51772,2023,Full,07/16/2023,,Being Held,Lightning,3,5,1772,Kitanweliks Creek,55.8919,-129.0043,5.95,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R51772
R41261,2023,Modified,07/07/2023,,Being Held,Lightning,3,4,1261,Casnorra Creek,55.0863,-128.2713,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R41261
N41854,2023,Full,07/18/2023,07/18/2023,Out,Lightning,6,4,1854,Mt McKenzie,50.9709,-118.1327,0.09,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=N41854
V31311,2023,,07/08/2023,07/09/2023,Out,Lightning,2,3,1311,Jane Creek,49.6118,-123.154,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V31311
R40823,2023,Full,06/18/2023,06/21/2023,Out,Person,3,4,823,7km Pope FSR,55.5763,-127.7941,0.03,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R40823
G12129,2023,Full,07/22/2023,,Out of Control,Lightning,4,1,2129,5km NE Prince George,53.9342,-122.6444,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G12129
R11995,2023,Full,07/20/2023,,Under Control,Lightning,3,1,1995,Eagle Creek Rd,54.1884,-125.8248,0.6,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R11995
C21553,2023,,07/11/2023,07/12/2023,Out,Lightning,7,2,1553,1.6km E of Junction of Fraser River and Richards Creek,52.1092,-122.2603,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C21553
R21377,2023,,07/08/2023,,Out of Control,Unknown,3,2,1377,1.5 km N of Nadina River,54.0454,-126.5994,2804,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R21377
C21329,2023,Full,07/08/2023,07/11/2023,Out,Lightning,7,2,1329,E of Tyee Lake,52.3774,-122.0098,1,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C21329
G91933,2023,Monitor,07/20/2023,,Out of Control,Unknown,4,9,1933,HWF-130,59.463,-120.0004,0,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G91933
C31972,2023,,07/20/2023,,Under Control,Lightning,7,3,1972,8.3km NW of Moffat Lakes,52.1843,-121.1795,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C31972
G41949,2023,,07/20/2023,,Out of Control,Lightning,4,4,1949,1 km W bobtail berta FSR,53.6468,-123.7181,1,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G41949
G11372,2023,Full,07/08/2023,,Being Held,Lightning,4,1,1372,Carp Lake,54.7235,-123.327,16,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G11372
K40450,2023,Full,05/20/2023,05/21/2023,Out,Lightning,5,4,450,SE of Myoff Creek,51.3285,-118.6884,0.02,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K40450
G11910,2023,Full,07/19/2023,07/21/2023,Out,Lightning,4,1,1910,2km North of Spring Mountain,53.8226,-122.0705,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G11910
R11790,2023,Full,07/16/2023,07/17/2023,Out,Lightning,3,1,1790,5.5km Verdun,53.9045,-126.0187,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R11790
G10471,2023,Full,05/21/2023,05/26/2023,Out,Person,4,1,471,Dougherty Creek,53.8093,-122.4921,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G10471
G41682,2023,Full,07/14/2023,07/17/2023,Out,Lightning,4,4,1682,Woodcock Lake,53.5674,-123.6022,3,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G41682
R22113,2023,,07/22/2023,,Out of Control,Lightning,3,2,2113,400m W of Walcott Quick Rd,54.4765,-126.8453,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R22113
G12034,2023,Full,07/21/2023,,Out of Control,Lightning,4,1,2034,Kellogg Creek,53.7768,-123.1995,0.04,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G12034
K21795,2023,,07/17/2023,,Under Control,Lightning,5,2,1795,Gannett Creek,51.4502,-119.4264,1.46,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K21795
V72000,2023,,07/20/2023,07/21/2023,Out,Unknown,2,7,2000,2.5km SE of Resevoir Park,49.1211,-123.9332,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V72000
R51245,2023,,07/07/2023,,Out of Control,Lightning,3,5,1245,2km W of Atkins Bay,53.8538,-128.5935,200,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R51245
G51344,2023,Monitor,07/08/2023,,Out of Control,Lightning,4,5,1344,8 KM East of Salmon Lake,54.7485,-123.8708,339.6,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G51344
G82110,2023,Full,07/22/2023,,Out of Control,Lightning,4,8,2110,Adskwatim Creek,57.0061,-120.0786,0.88,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G82110
G62082,2023,,07/21/2023,,Under Control,Lightning,4,6,2082,SW Finlay FSR,55.174,-123.2034,1.5,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G62082
N41962,2023,,07/20/2023,,Out of Control,Unknown,6,4,1962,Scrip Creek,51.8722,-118.7811,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=N41962
K21540,2023,Full,07/10/2023,07/11/2023,Out,Lightning,5,2,1540,McQueen Lake,50.8191,-120.3978,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K21540
R21904,2023,,07/19/2023,07/20/2023,Out,Lightning,3,2,1904,3km S of Kidprice Lake,53.8592,-127.4811,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R21904
G90981,2023,Monitor,06/28/2023,,Out of Control,Lightning,4,9,981,1 Mile SW of the Turnagain & Kachinka Confurance,59.1395,-127.65,12305.95,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G90981
R12029,2023,Full,07/21/2023,,Under Control,Lightning,3,1,2029,4.8km E of Maxan Creek,54.2652,-125.9968,0.3,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R12029
K41516,2023,,07/10/2023,07/11/2023,Out,Lightning,5,4,1516,Snuffbox Creek #4,51.1269,-119.3268,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K41516
K41824,2023,,07/17/2023,07/18/2023,Out,Lightning,5,4,1824,Owlhead FSR 1,50.864,-118.8821,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K41824
G41220,2023,Full,07/07/2023,,Out of Control,Lightning,4,4,1220,E of Entiako Lake,53.2459,-125.2875,0.25,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G41220
K21633,2023,,07/12/2023,,Out of Control,Lightning,5,2,1633,Bush Creek East,51.0035,-119.8255,330,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K21633
C21651,2023,Full,07/12/2023,07/13/2023,Out,Lightning,7,2,1651,Powerlines west of Estler,52.1427,-122.2143,0.3,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C21651
G91741,2023,Monitor,07/15/2023,,Out of Control,Lightning,4,9,1741,Patry Rd,59.4346,-123.6702,0.5,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G91741
R10502,2023,Full,05/25/2023,05/26/2023,Out,Person,3,1,502,Strearns Subd Rd,54.1914,-125.5591,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R10502
G11447,2023,Full,07/09/2023,,Under Control,Lightning,4,1,1447,Pitoney Creek,53.6715,-122.1422,2,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G11447
R21621,2023,,07/12/2023,,Out of Control,Lightning,3,2,1621,3.8 km NE of Natolake,55.1138,-125.9538,0.1,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R21621
G60452,2023,Full,05/20/2023,06/06/2023,Out,Lightning,4,6,452,Scott Creek,55.724,-123.6094,4.5,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G60452
K41849,2023,,07/17/2023,07/22/2023,Out,Lightning,5,4,1849,Crazy Creek,51.0706,-118.5806,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K41849
G40906,2023,Full,06/25/2023,06/25/2023,Out,Person,4,4,906,Endako River,54.0645,-124.944,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G40906
V62098,2023,,07/22/2023,07/22/2023,Out,Unknown,2,6,2098,Nanaimo River Road,49.0806,-124.0714,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V62098
V31300,2023,Monitor,07/08/2023,,Out of Control,Lightning,2,3,1300,W of Athelstan Mountain,50.6978,-123.4493,25,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V31300
R40247,2023,Full,05/07/2023,05/08/2023,Out,Person,3,4,247,48km on Hwy37,55.4641,-128.2301,0.48,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R40247
C30979,2023,,06/28/2023,06/28/2023,Out,Lightning,7,3,979,SE of Gravel Creek,52.1783,-121.6206,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C30979
N52009,2023,Modified,07/21/2023,,Out of Control,Lightning,6,5,2009,Persian Creek,50.7671,-117.475,7.5,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=N52009
K21843,2023,,07/17/2023,07/18/2023,Out,Lightning,5,2,1843,Deadman Valley,50.8087,-121.0182,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K21843
V10105,2023,,04/27/2023,04/28/2023,Out,Person,2,1,105,Keiffers Rd,49.9982,-121.5258,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V10105
N42072,2023,,07/21/2023,,Out of Control,Lightning,6,4,2072,Argonaut Creek,51.79,-118.47,1.1,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=N42072
G12132,2023,,07/22/2023,,Out of Control,Lightning,4,1,2132,Mt. Bowron,53.9363,-122.1018,3.3,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G12132
G51564,2023,Full,07/11/2023,,Fire of Note,Lightning,4,5,1564,SW Whitefish Lake,54.5447,-125.033,1447.22,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G51564
K71825,2023,,07/17/2023,,Under Control,Lightning,5,7,1825,South Cinquefoil Creek,50.5747,-121.7919,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K71825
G80753,2023,Full,06/12/2023,06/12/2023,Out,Person,4,8,753,East Deadhorse Creek,56.6541,-121.7094,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G80753
R50575,2023,Full,06/02/2023,06/07/2023,Out,Person,3,5,575,2.7km N New Remo,54.5262,-128.7136,0.2,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R50575
G51316,2023,Full,07/08/2023,07/09/2023,Out,Lightning,4,5,1316,Necoslie River,54.2876,-124.0024,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G51316
C51597,2023,,07/12/2023,,Under Control,Person,7,5,1597,3km NE of Lille Lake,52.3846,-125.0349,0.3,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C51597
V80536,2023,,05/30/2023,05/31/2023,Out,Person,2,8,536,3.1 KM South of Gilson Lake,49.8977,-125.3836,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V80536
G91021,2023,Monitor,06/30/2023,,Being Held,Lightning,4,9,1021,Scatter River,59.7755,-125.3435,12,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G91021
G40218,2023,Full,05/05/2023,05/24/2023,Out,Person,4,4,218,Sackner Road,53.9965,-123.8192,0.2,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G40218
G41189,2023,,07/07/2023,,Out of Control,Lightning,4,4,1189,7 KM E/SE of Moose Lake,53.0046,-125.3669,2581.1,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G41189
V71880,2023,,07/19/2023,07/21/2023,Out,Unknown,2,7,1880,Sandy Creek,49.449,-124.7615,0.2,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V71880
K71032,2023,Modified,07/01/2023,,Out of Control,Lightning,5,7,1032,Sessel Mountain,50.6616,-123.0929,200,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K71032
V11257,2023,,07/07/2023,07/10/2023,Out,Lightning,2,1,1257,Mount Green,49.2162,-121.3378,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V11257
